dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
21/08/2021,21,8,2021,1,1,Sweden,SE,SWE,10327589,Europe
1/8/2021,1,8,2021,1,0,Sweden,SE,SWE,10327589,Europe
20/06/2021,20,6,2021,1,3,Sweden,SE,SWE,10327589,Europe
15/06/2021,15,6,2021,1,2,Sweden,SE,SWE,10327589,Europe
27/02/2020,27,2,2020,1,0,Sweden,SE,SWE,10327589,Europe
26/02/2020,26,2,2020,1,0,Sweden,SE,SWE,10327589,Europe
4/2/2020,4,2,2020,1,0,Sweden,SE,SWE,10327589,Europe
2/10/2021,2,10,2021,2,6,Sweden,SE,SWE,10327589,Europe
11/9/2021,11,9,2021,2,4,Sweden,SE,SWE,10327589,Europe
25/07/2021,25,7,2021,2,0,Sweden,SE,SWE,10327589,Europe
4/7/2021,4,7,2021,2,0,Sweden,SE,SWE,10327589,Europe
28/08/2021,28,8,2021,3,1,Sweden,SE,SWE,10327589,Europe
22/08/2021,22,8,2021,3,2,Sweden,SE,SWE,10327589,Europe
8/8/2021,8,8,2021,3,2,Sweden,SE,SWE,10327589,Europe
3/7/2021,3,7,2021,3,2,Sweden,SE,SWE,10327589,Europe
29/02/2020,29,2,2020,3,0,Sweden,SE,SWE,10327589,Europe
31/07/2021,31,7,2021,4,0,Sweden,SE,SWE,10327589,Europe
29/08/2021,29,8,2021,5,5,Sweden,SE,SWE,10327589,Europe
2/3/2020,2,3,2020,5,0,Sweden,SE,SWE,10327589,Europe
26/09/2021,26,9,2021,6,6,Sweden,SE,SWE,10327589,Europe
7/8/2021,7,8,2021,6,0,Sweden,SE,SWE,10327589,Europe
18/07/2021,18,7,2021,6,0,Sweden,SE,SWE,10327589,Europe
10/7/2021,10,7,2021,7,0,Sweden,SE,SWE,10327589,Europe
14/08/2021,14,8,2021,8,1,Sweden,SE,SWE,10327589,Europe
27/06/2021,27,6,2021,8,0,Sweden,SE,SWE,10327589,Europe
26/06/2021,26,6,2021,8,0,Sweden,SE,SWE,10327589,Europe
28/02/2020,28,2,2020,8,0,Sweden,SE,SWE,10327589,Europe
10/10/2021,10,10,2021,9,5,Sweden,SE,SWE,10327589,Europe
5/9/2021,5,9,2021,10,6,Sweden,SE,SWE,10327589,Europe
15/08/2021,15,8,2021,10,1,Sweden,SE,SWE,10327589,Europe
24/07/2021,24,7,2021,11,0,Sweden,SE,SWE,10327589,Europe
17/07/2021,17,7,2021,11,1,Sweden,SE,SWE,10327589,Europe
3/3/2020,3,3,2020,13,0,Sweden,SE,SWE,10327589,Europe
16/10/2021,16,10,2021,14,6,Sweden,SE,SWE,10327589,Europe
9/10/2021,9,10,2021,16,6,Sweden,SE,SWE,10327589,Europe
19/06/2021,19,6,2021,19,2,Sweden,SE,SWE,10327589,Europe
5/3/2020,5,3,2020,25,0,Sweden,SE,SWE,10327589,Europe
4/3/2020,4,3,2020,30,0,Sweden,SE,SWE,10327589,Europe
25/06/2021,25,6,2021,31,2,Sweden,SE,SWE,10327589,Europe
7/3/2020,7,3,2020,33,0,Sweden,SE,SWE,10327589,Europe
16/06/2021,16,6,2021,36,2,Sweden,SE,SWE,10327589,Europe
2/8/2020,2,8,2020,38,3,Sweden,SE,SWE,10327589,Europe
26/07/2020,26,7,2020,42,2,Sweden,SE,SWE,10327589,Europe
8/3/2020,8,3,2020,46,0,Sweden,SE,SWE,10327589,Europe
30/08/2020,30,8,2020,48,3,Sweden,SE,SWE,10327589,Europe
23/08/2020,23,8,2020,57,3,Sweden,SE,SWE,10327589,Europe
6/3/2020,6,3,2020,59,0,Sweden,SE,SWE,10327589,Europe
16/08/2020,16,8,2020,63,0,Sweden,SE,SWE,10327589,Europe
6/9/2020,6,9,2020,67,3,Sweden,SE,SWE,10327589,Europe
15/03/2020,15,3,2020,69,2,Sweden,SE,SWE,10327589,Europe
27/07/2020,27,7,2020,71,6,Sweden,SE,SWE,10327589,Europe
14/03/2020,14,3,2020,71,1,Sweden,SE,SWE,10327589,Europe
9/8/2020,9,8,2020,73,4,Sweden,SE,SWE,10327589,Europe
16/03/2020,16,3,2020,83,2,Sweden,SE,SWE,10327589,Europe
27/05/2021,27,5,2021,92,7,Sweden,SE,SWE,10327589,Europe
10/3/2020,10,3,2020,98,0,Sweden,SE,SWE,10327589,Europe
9/3/2020,9,3,2020,101,0,Sweden,SE,SWE,10327589,Europe
13/09/2020,13,9,2020,106,2,Sweden,SE,SWE,10327589,Europe
12/7/2020,12,7,2020,106,8,Sweden,SE,SWE,10327589,Europe
19/07/2020,19,7,2020,110,7,Sweden,SE,SWE,10327589,Europe
22/03/2020,22,3,2020,118,11,Sweden,SE,SWE,10327589,Europe
17/03/2020,17,3,2020,119,1,Sweden,SE,SWE,10327589,Europe
29/08/2020,29,8,2020,131,1,Sweden,SE,SWE,10327589,Europe
20/07/2020,20,7,2020,131,6,Sweden,SE,SWE,10327589,Europe
20/09/2020,20,9,2020,133,4,Sweden,SE,SWE,10327589,Europe
21/03/2020,21,3,2020,136,8,Sweden,SE,SWE,10327589,Europe
25/07/2020,25,7,2020,138,1,Sweden,SE,SWE,10327589,Europe
19/03/2020,19,3,2020,143,7,Sweden,SE,SWE,10327589,Europe
18/03/2020,18,3,2020,145,6,Sweden,SE,SWE,10327589,Europe
12/3/2020,12,3,2020,151,0,Sweden,SE,SWE,10327589,Europe
13/03/2020,13,3,2020,152,1,Sweden,SE,SWE,10327589,Europe
4/10/2020,4,10,2020,156,3,Sweden,SE,SWE,10327589,Europe
13/06/2021,13,6,2021,159,0,Sweden,SE,SWE,10327589,Europe
22/08/2020,22,8,2020,160,1,Sweden,SE,SWE,10327589,Europe
11/10/2020,11,10,2020,161,2,Sweden,SE,SWE,10327589,Europe
31/08/2020,31,8,2020,162,2,Sweden,SE,SWE,10327589,Europe
3/8/2020,3,8,2020,165,4,Sweden,SE,SWE,10327589,Europe
27/09/2020,27,9,2020,167,1,Sweden,SE,SWE,10327589,Europe
13/07/2020,13,7,2020,170,12,Sweden,SE,SWE,10327589,Europe
5/9/2020,5,9,2020,171,0,Sweden,SE,SWE,10327589,Europe
1/9/2020,1,9,2020,171,3,Sweden,SE,SWE,10327589,Europe
24/08/2020,24,8,2020,174,1,Sweden,SE,SWE,10327589,Europe
17/08/2020,17,8,2020,174,3,Sweden,SE,SWE,10327589,Europe
28/08/2020,28,8,2020,179,1,Sweden,SE,SWE,10327589,Europe
20/03/2020,20,3,2020,180,9,Sweden,SE,SWE,10327589,Europe
23/03/2020,23,3,2020,182,11,Sweden,SE,SWE,10327589,Europe
7/9/2020,7,9,2020,185,1,Sweden,SE,SWE,10327589,Europe
18/07/2020,18,7,2020,191,11,Sweden,SE,SWE,10327589,Europe
10/8/2020,10,8,2020,196,2,Sweden,SE,SWE,10327589,Europe
11/3/2020,11,3,2020,196,1,Sweden,SE,SWE,10327589,Europe
27/08/2020,27,8,2020,202,1,Sweden,SE,SWE,10327589,Europe
12/9/2020,12,9,2020,206,1,Sweden,SE,SWE,10327589,Europe
24/05/2020,24,5,2020,210,44,Sweden,SE,SWE,10327589,Europe
2/9/2020,2,9,2020,213,2,Sweden,SE,SWE,10327589,Europe
14/09/2020,14,9,2020,220,2,Sweden,SE,SWE,10327589,Europe
23/07/2020,23,7,2020,220,5,Sweden,SE,SWE,10327589,Europe
6/6/2021,6,6,2021,222,3,Sweden,SE,SWE,10327589,Europe
25/08/2020,25,8,2020,222,1,Sweden,SE,SWE,10327589,Europe
15/08/2020,15,8,2020,226,1,Sweden,SE,SWE,10327589,Europe
21/07/2020,21,7,2020,226,7,Sweden,SE,SWE,10327589,Europe
9/7/2021,9,7,2021,228,0,Sweden,SE,SWE,10327589,Europe
24/03/2020,24,3,2020,230,21,Sweden,SE,SWE,10327589,Europe
8/9/2020,8,9,2020,236,1,Sweden,SE,SWE,10327589,Europe
8/7/2021,8,7,2021,237,0,Sweden,SE,SWE,10327589,Europe
26/08/2020,26,8,2020,244,2,Sweden,SE,SWE,10327589,Europe
29/06/2021,29,6,2021,251,1,Sweden,SE,SWE,10327589,Europe
6/7/2020,6,7,2020,251,15,Sweden,SE,SWE,10327589,Europe
10/9/2020,10,9,2020,254,2,Sweden,SE,SWE,10327589,Europe
7/7/2021,7,7,2021,258,0,Sweden,SE,SWE,10327589,Europe
31/07/2020,31,7,2020,258,2,Sweden,SE,SWE,10327589,Europe
17/05/2020,17,5,2020,259,52,Sweden,SE,SWE,10327589,Europe
8/8/2020,8,8,2020,260,1,Sweden,SE,SWE,10327589,Europe
3/5/2020,3,5,2020,261,75,Sweden,SE,SWE,10327589,Europe
4/9/2020,4,9,2020,262,0,Sweden,SE,SWE,10327589,Europe
24/07/2020,24,7,2020,262,3,Sweden,SE,SWE,10327589,Europe
31/05/2020,31,5,2020,265,46,Sweden,SE,SWE,10327589,Europe
21/09/2020,21,9,2020,266,2,Sweden,SE,SWE,10327589,Europe
16/07/2020,16,7,2020,268,6,Sweden,SE,SWE,10327589,Europe
7/11/2021,7,11,2021,278,3,Sweden,SE,SWE,10327589,Europe
7/7/2020,7,7,2020,278,12,Sweden,SE,SWE,10327589,Europe
19/09/2020,19,9,2020,279,1,Sweden,SE,SWE,10327589,Europe
10/5/2020,10,5,2020,279,73,Sweden,SE,SWE,10327589,Europe
29/03/2020,29,3,2020,280,38,Sweden,SE,SWE,10327589,Europe
28/07/2020,28,7,2020,283,4,Sweden,SE,SWE,10327589,Europe
1/7/2021,1,7,2021,284,1,Sweden,SE,SWE,10327589,Europe
17/07/2020,17,7,2020,284,7,Sweden,SE,SWE,10327589,Europe
29/05/2021,29,5,2021,285,3,Sweden,SE,SWE,10327589,Europe
3/9/2020,3,9,2020,286,2,Sweden,SE,SWE,10327589,Europe
26/03/2020,26,3,2020,286,31,Sweden,SE,SWE,10327589,Europe
15/07/2020,15,7,2020,287,6,Sweden,SE,SWE,10327589,Europe
11/9/2020,11,9,2020,291,4,Sweden,SE,SWE,10327589,Europe
15/09/2020,15,9,2020,292,1,Sweden,SE,SWE,10327589,Europe
28/05/2021,28,5,2021,297,8,Sweden,SE,SWE,10327589,Europe
