dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,,
5/8/2020,5,8,2020,384,10,Italy,IT,ITA,59641488,Europe,,
5/9/2020,5,9,2020,1693,15,Italy,IT,ITA,59641488,Europe,,
5/10/2020,5,10,2020,2257,16,Italy,IT,ITA,59641488,Europe,,
5/11/2020,5,11,2020,34502,445,Italy,IT,ITA,59641488,Europe,,
5/12/2020,5,12,2020,21052,662,Italy,IT,ITA,59641488,Europe,,
6/3/2020,6,3,2020,778,49,Italy,IT,ITA,59641488,Europe,,
6/4/2020,6,4,2020,3599,636,Italy,IT,ITA,59641488,Europe,,
6/5/2020,6,5,2020,1444,369,Italy,IT,ITA,59641488,Europe,,
6/6/2020,6,6,2020,270,72,Italy,IT,ITA,59641488,Europe,,
6/7/2020,6,7,2020,208,8,Italy,IT,ITA,59641488,Europe,,
6/8/2020,6,8,2020,401,6,Italy,IT,ITA,59641488,Europe,,
6/9/2020,6,9,2020,1297,8,Italy,IT,ITA,59641488,Europe,,
6/10/2020,6,10,2020,2677,28,Italy,IT,ITA,59641488,Europe,,
6/11/2020,6,11,2020,37802,446,Italy,IT,ITA,59641488,Europe,,
6/12/2020,6,12,2020,18887,564,Italy,IT,ITA,59641488,Europe,,
7/3/2020,7,3,2020,1247,36,Italy,IT,ITA,59641488,Europe,,
7/4/2020,7,4,2020,3039,604,Italy,IT,ITA,59641488,Europe,,
7/5/2020,7,5,2020,1401,274,Italy,IT,ITA,59641488,Europe,,
7/6/2020,7,6,2020,197,53,Italy,IT,ITA,59641488,Europe,,
7/7/2020,7,7,2020,137,30,Italy,IT,ITA,59641488,Europe,,
7/8/2020,7,8,2020,552,3,Italy,IT,ITA,59641488,Europe,,
7/9/2020,7,9,2020,1150,12,Italy,IT,ITA,59641488,Europe,,
7/10/2020,7,10,2020,3677,31,Italy,IT,ITA,59641488,Europe,,
7/11/2020,7,11,2020,39809,425,Italy,IT,ITA,59641488,Europe,,
7/12/2020,7,12,2020,13679,528,Italy,IT,ITA,59641488,Europe,,
8/3/2020,8,3,2020,1492,133,Italy,IT,ITA,59641488,Europe,,
8/4/2020,8,4,2020,3836,542,Italy,IT,ITA,59641488,Europe,,
8/5/2020,8,5,2020,1327,243,Italy,IT,ITA,59641488,Europe,,
8/6/2020,8,6,2020,280,65,Italy,IT,ITA,59641488,Europe,,
8/7/2020,8,7,2020,193,15,Italy,IT,ITA,59641488,Europe,,
8/8/2020,8,8,2020,347,13,Italy,IT,ITA,59641488,Europe,,
8/9/2020,8,9,2020,1369,10,Italy,IT,ITA,59641488,Europe,,
8/10/2020,8,10,2020,4458,22,Italy,IT,ITA,59641488,Europe,,
8/11/2020,8,11,2020,32614,331,Italy,IT,ITA,59641488,Europe,,
8/12/2020,8,12,2020,14837,634,Italy,IT,ITA,59641488,Europe,,
9/3/2020,9,3,2020,1797,97,Italy,IT,ITA,59641488,Europe,,
9/4/2020,9,4,2020,4204,610,Italy,IT,ITA,59641488,Europe,,
9/5/2020,9,5,2020,1083,194,Italy,IT,ITA,59641488,Europe,,
9/6/2020,9,6,2020,283,79,Italy,IT,ITA,59641488,Europe,,
9/7/2020,9,7,2020,214,12,Italy,IT,ITA,59641488,Europe,,
9/8/2020,9,8,2020,463,2,Italy,IT,ITA,59641488,Europe,,
9/9/2020,9,9,2020,1430,14,Italy,IT,ITA,59641488,Europe,,
9/10/2020,9,10,2020,5372,28,Italy,IT,ITA,59641488,Europe,,
9/11/2020,9,11,2020,25269,356,Italy,IT,ITA,59641488,Europe,,
9/12/2020,9,12,2020,12755,499,Italy,IT,ITA,59641488,Europe,,
10/3/2020,10,3,2020,977,168,Italy,IT,ITA,59641488,Europe,,
10/4/2020,10,4,2020,3951,570,Italy,IT,ITA,59641488,Europe,,
10/5/2020,10,5,2020,802,165,Italy,IT,ITA,59641488,Europe,,
10/6/2020,10,6,2020,202,71,Italy,IT,ITA,59641488,Europe,,
10/7/2020,10,7,2020,276,12,Italy,IT,ITA,59641488,Europe,,
10/8/2020,10,8,2020,259,4,Italy,IT,ITA,59641488,Europe,,
10/9/2020,10,9,2020,1597,10,Italy,IT,ITA,59641488,Europe,,
10/10/2020,10,10,2020,5724,29,Italy,IT,ITA,59641488,Europe,,
10/11/2020,10,11,2020,35090,580,Italy,IT,ITA,59641488,Europe,,
10/12/2020,10,12,2020,16998,887,Italy,IT,ITA,59641488,Europe,,
11/3/2020,11,3,2020,2313,196,Italy,IT,ITA,59641488,Europe,,
11/4/2020,11,4,2020,4694,619,Italy,IT,ITA,59641488,Europe,,
11/5/2020,11,5,2020,744,179,Italy,IT,ITA,59641488,Europe,,
11/6/2020,11,6,2020,379,53,Italy,IT,ITA,59641488,Europe,,
11/7/2020,11,7,2020,188,7,Italy,IT,ITA,59641488,Europe,,
11/8/2020,11,8,2020,412,6,Italy,IT,ITA,59641488,Europe,,
11/9/2020,11,9,2020,1616,10,Italy,IT,ITA,59641488,Europe,,
11/10/2020,11,10,2020,5456,26,Italy,IT,ITA,59641488,Europe,,
11/11/2020,11,11,2020,32961,623,Italy,IT,ITA,59641488,Europe,,
11/12/2020,11,12,2020,18726,761,Italy,IT,ITA,59641488,Europe,,
12/3/2020,12,3,2020,2651,189,Italy,IT,ITA,59641488,Europe,,
12/4/2020,12,4,2020,4092,431,Italy,IT,ITA,59641488,Europe,,
12/5/2020,12,5,2020,1402,172,Italy,IT,ITA,59641488,Europe,,
12/6/2020,12,6,2020,163,56,Italy,IT,ITA,59641488,Europe,,
12/7/2020,12,7,2020,234,9,Italy,IT,ITA,59641488,Europe,,
12/8/2020,12,8,2020,476,10,Italy,IT,ITA,59641488,Europe,,
12/9/2020,12,9,2020,1501,6,Italy,IT,ITA,59641488,Europe,,
12/10/2020,12,10,2020,4619,39,Italy,IT,ITA,59641488,Europe,,
